DeconMSn Version:     2.4.9069.30418 (2024-10-30)
Dataset:              QC_Shew_19_01_top3_500ng-run1_11Apr19_Brandi_Thermo-10408462
MSn scans processed:  275
DTAs written:         270
Date/Time:            10/30/2024 16:54
-----------------------------------------------------------


MSn_Scan	MSn_Level	Parent_Scan	Parent_Scan_Level	Parent_Mz	Mono_Mz	Charge_State	Monoisotopic_Mass	Isotopic_Fit	Parent_Intensity	Mono_Intensity
736	2	734	1	739.3891	739.3891	2	1476.7647	0.0064	34039	34039
739	2	738	1	741.4363	741.4363	2	1480.8592	0.0096	89094	89094
740	2	738	1	807.4161	807.4161	2	1612.8188	0.0135	38387	38387
741	2	738	1	442.5968	442.5968	3	1324.7701	0.0128	34974	34974
743	2	742	1	791.9095	791.9095	2	1581.8056	0.0244	88301	88301
744	2	742	1	494.6266	494.6266	3	1480.8596	0.0107	36246	36246
745	2	742	1	618.9853	618.9853	3	1853.9356	0.0155	33464	33464
747	2	746	1	541.2837	541.2837	3	1620.8309	0.0245	49845	49845
748	2	746	1	665.0323	665.0323	3	1991.0738	0.0274	31020	25066
749	2	746	1	528.2764	528.2770	4	2108.0783	0.1164	23860	23860
751	2	750	1	648.0610	648.0610	4	2587.2142	0.0119	45340	30338
752	2	750	1	570.5207	570.5207	4	2277.0528	0.0088	24954	21235
753	2	750	1	672.3641	672.3641	4	2684.4265	0.0997	18799	8269
756	2	754	1	697.3807	697.3807	3	2088.1192	0.0077	20735	19737
757	2	754	1	601.3510	601.3510	3	1801.0327	0.0226	17691	17691
759	2	758	1	794.1037	794.1037	3	2378.2881	0.0151	40503	28685
760	2	758	1	706.8452	706.8452	4	2822.3511	0.0153	28880	15846
765	2	762	1	514.2686	514.2686	3	1539.7857	0.0057	36413	36413
767	2	766	1	681.0405	681.0405	3	2039.0984	0.0130	32595	28813
768	2	766	1	668.3554	668.3554	3	2001.0431	0.0344	22940	20084
769	2	766	1	573.9650	573.9650	3	1718.8749	0.0066	22272	22272
771	2	770	1	626.3403	626.3403	2	1250.6671	0.0051	36894	36894
772	2	770	1	761.3933	761.3933	3	2280.1569	0.0166	26021	24018
773	2	770	1	618.3202	618.3202	3	1850.9377	0.0050	18104	16349
775	2	774	1	678.6789	678.6789	3	2032.0137	0.0101	53876	47488
776	2	774	1	659.8582	659.8582	2	1317.7030	0.0056	33943	33943
777	2	774	1	644.8582	644.8582	2	1287.7030	0.0054	22584	22584
779	2	778	1	887.7713	887.7713	3	2659.2907	0.0267	57423	41260
780	2	778	1	746.3885	746.3885	2	1490.7636	0.0130	55946	55946
781	2	778	1	569.5564	569.5564	4	2273.1957	0.0200	23073	16312
784	2	782	1	654.6999	654.6999	3	1960.0765	0.0294	56048	46147
785	2	782	1	675.0132	675.0132	3	2021.0164	0.0046	49171	45732
787	2	786	1	853.9154	853.9154	4	3410.6320	0.0069	30631	14379
788	2	786	1	534.7896	534.7896	4	2134.1286	0.0117	31336	26234
789	2	786	1	725.8730	726.1233	4	2898.4608	0.0181	20889	14555
791	2	790	1	721.3904	721.3904	4	2880.5318	0.0184	81422	51241
792	2	790	1	482.2580	482.2580	3	1443.7539	0.0506	22584	22584
796	2	794	1	703.6860	703.6860	3	2107.0349	0.0069	39951	34174
797	2	794	1	765.3402	765.3402	3	2291.9976	0.0086	28312	25170
799	2	798	1	893.8011	893.8011	3	2677.3804	0.0094	20161	15650
800	2	798	1	712.6817	712.6817	3	2134.0220	0.0076	20614	16619
803	2	802	1	774.8770	774.8770	4	3094.4781	0.0080	82075	58457
807	2	806	1	858.7779	858.7779	3	2572.3106	0.0307	28695	17654
808	2	806	1	613.8703	613.8703	2	1225.7260	1.0000	19965	19965
809	2	806	1	795.7108	795.7108	3	2383.1094	0.0040	14205	10645
811	2	810	1	799.9145	799.4134	2	1596.8133	0.0192	29296	39960
812	2	810	1	852.1110	852.1110	3	2552.3099	0.0184	25866	18757
813	2	810	1	926.8213	926.8213	3	2776.4408	0.0143	21899	13580
815	2	814	1	466.6159	466.6159	3	1396.8276	0.0104	40924	40924
816	2	814	1	550.9704	550.9704	3	1649.8910	0.0238	32204	32204
817	2	814	1	710.3844	710.3844	3	2128.1331	0.0239	28308	28308
840	2	838	1	685.3446	685.3446	3	2052.0108	0.0106	41419	37875
843	2	842	1	657.3831	657.3831	2	1312.7527	0.0041	76052	76052
845	2	842	1	725.8975	725.8975	2	1449.7815	0.0532	35896	35896
847	2	846	1	620.3646	620.3646	2	1238.7157	0.0145	57545	57545
848	2	846	1	610.3381	610.3381	2	1218.6628	0.0061	35077	35077
849	2	846	1	678.5577	678.5577	5	3385.7494	0.0526	25541	18281
851	2	850	1	628.3453	628.3453	3	1881.0129	0.0463	37050	29085
852	2	850	1	696.0336	696.0336	3	2084.0776	0.0730	29420	24763
853	2	850	1	847.6953	847.9471	4	3385.7559	0.0337	26028	23734
860	2	858	1	838.4121	838.4121	4	3347.6159	0.0612	18891	13525
865	2	862	1	800.0550	800.0550	3	2396.1420	0.0227	36130	29485
867	2	866	1	749.4128	749.4128	4	2992.6214	0.0373	21874	10378
868	2	866	1	880.1507	880.1507	3	2636.4291	0.0388	20862	17445
869	2	866	1	928.9394	928.9394	4	3709.7253	0.0847	18813	15545
872	2	870	1	687.3867	687.7210	3	2059.1398	0.0258	29423	29423
873	2	870	1	675.4097	675.4097	1	674.4030	0.0056	29417	29417
877	2	874	1	701.0215	701.0215	3	2099.0415	0.0173	42913	31034
880	2	878	1	836.4267	836.4267	4	3339.6746	0.0280	24941	13060
